t=2025-08-10T02:24:45+0300 lvl=info msg="open config file" path=/Users/antonparfenov/tg-money-miniapp/ngrok.yml err=nil
t=2025-08-10T02:33:45+0300 lvl=info msg="join connections" obj=join id=363bf4d0d507 l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:33896
t=2025-08-10T02:33:45+0300 lvl=info msg="join connections" obj=join id=cb30fab158b1 l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:33896
t=2025-08-10T02:33:45+0300 lvl=info msg="join connections" obj=join id=882a84b2127a l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:33896
t=2025-08-10T02:33:45+0300 lvl=info msg="join connections" obj=join id=c96680c1e3cb l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:33896
t=2025-08-10T02:33:45+0300 lvl=info msg="join connections" obj=join id=2a569e9a74da l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:33896
t=2025-08-10T02:33:45+0300 lvl=info msg="join connections" obj=join id=5a74335959eb l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:33896
t=2025-08-10T02:33:45+0300 lvl=info msg="join connections" obj=join id=e59e826edbef l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:34512
t=2025-08-10T02:33:47+0300 lvl=info msg="join connections" obj=join id=1d748c987620 l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:33896
t=2025-08-10T02:33:47+0300 lvl=info msg="join connections" obj=join id=6b8bad50027b l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:33896
t=2025-08-10T02:33:47+0300 lvl=info msg="join connections" obj=join id=c9893bbc9f50 l=[::1]:3001 r=[2001:41d0:401:3200::3fac]:48024
t=2025-08-10T02:33:47+0300 lvl=info msg="join connections" obj=join id=2187a238fb16 l=[::1]:3001 r=[2001:41d0:401:3200::3fac]:48024
t=2025-08-10T02:33:48+0300 lvl=info msg="join connections" obj=join id=8e00a3d12166 l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:33896
t=2025-08-10T02:33:48+0300 lvl=info msg="join connections" obj=join id=0da0eee0e861 l=[::1]:5173 r=[2001:41d0:401:3200::3fac]:33896
t=2025-08-10T02:34:04+0300 lvl=info msg="join connections" obj=join id=7f25dcb264f6 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=c37fa9b5ba7f l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=feb6f29874fb l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=5c5de74b0e59 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=f5158150ba9b l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=b9d0991ae12d l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=e8794822364b l=[::1]:5173 r=95.25.228.116:24663
